SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1111 S Akard St #316,Dallas,TX,75215,352000,3,2.5,Buzz Condo,1854,32757,2006,2,190,590,Active,,,http://www.redfin.com/TX/Dallas/1111-S-Akard-St-75215/unit-316/home/30775947,NTREIS,14486373,N,Y,32.7723251,-96.7947703
MLS Listing,,Condo/Co-op,1200 Main St #404,Dallas,TX,75202,300000,2,2.0,Metropolitan 1200 Main Street,1169,44997,1974,64,257,629,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-404/home/30776163,NTREIS,14465509,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #1904,Dallas,TX,75202,325000,2,2.0,Metropolitan 1200 Main St Condo,1169,44997,1974,99,278,629,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-1904/home/30776343,NTREIS,14434367,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #908,Dallas,TX,75202,247000,1,1.0,Metropolitan 1200 Main St Condo,880,44997,1974,24,281,473,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-908/home/30776217,NTREIS,14483023,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #1202,Dallas,TX,75202,196000,1,1.0,Metropolitan 1200 Main St Condo,660,44997,1974,140,297,366,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-1202/home/30776251,NTREIS,14419238,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #2404,Dallas,TX,75202,325000,2,2.0,Metropolitan 1200 Main Street,1169,44997,1974,57,278,629,Active,January-9-2021 01:00 PM,January-9-2021 03:00 PM,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-2404/home/30776413,NTREIS,14470497,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #803,Dallas,TX,75202,223500,1,1.0,Metropolitan 1200 Main St Condo,757,44997,1974,145,295,351,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-803/home/30776201,NTREIS,14414915,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #2307,Dallas,TX,75202,224900,1,1.0,Metropolitan 1200 Main St Condo,880,,1974,176,256,474,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-2307/home/30776357,NTREIS,14390665,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #2608,Dallas,TX,75202,228500,1,1.0,Metropolitan 1200 Main Street,880,44997,1974,94,260,474,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-2608/home/30776443,NTREIS,14444521,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #1713,Dallas,TX,75202,397890,2,2.0,Metropolitan 1200 Main St Condo,1454,44997,1974,148,274,807,Active,January-9-2021 01:00 PM,January-9-2021 03:00 PM,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-1713/home/30776314,NTREIS,14412018,N,Y,32.7800768,-96.8011677
